Season,Player,School,Conf,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MPG
2020-21,Dalano Banton,Nebraska,Big Ten,27,22,736,16.1,0.495,0.457,0.37,0.402,293,3.9,18.9,11.4,28.8,1.9,4,20.4,21.8,0.6,1.1,1.7,0.093,1.6,3,4.7,3.3,8.1,0.411,2.6,5.1,0.507,0.7,3,0.247,2.1,3.3,0.659,1,4.9,5.9,3.9,1,0.9,2.5,2.1,9.6,27.3
2021-22,Bryce McGowens,Nebraska,Big Ten,31,31,1032,16.9,0.533,0.453,0.368,0.491,486,2.4,14.6,8.7,8.6,1.2,1,11.7,27.2,1.6,0.6,2.2,0.086,2.3,-1,1.3,5.2,12.8,0.403,3.9,8.1,0.478,1.3,4.7,0.274,5.2,6.3,0.831,0.7,4.5,5.2,1.4,0.7,0.3,2.1,2,16.8,33.3
2018-19,Isaiah Roby,Nebraska,Big Ten,35,35,1093,19.7,0.532,0.497,0.258,0.408,416,6.6,17.7,12.1,12.5,2.4,6.4,15.2,21.6,1.7,2.2,3.8,0.14,2.9,3.8,6.7,4.2,9.3,0.454,3.4,6.9,0.496,0.8,2.4,0.333,2.6,3.8,0.677,1.9,5,6.9,1.9,1.3,1.9,2,3.2,11.8,31.2
