Season,Player,School,G,GS,MPPG,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,Team Wins,WS%
2017-18,Kevin Huerter,Maryland,32,32,34.4,5.1,10.1,0.503,2.8,4.6,0.605,2.3,5.5,0.417,2.3,3.1,0.758,1,4.1,5,3.4,0.6,0.7,2.5,2.4,14.8,1101,19.4,0.64,0.616,0.543,0.307,457,3.7,12.9,8.8,20.3,1.1,2.1,17.8,21.5,3,1.6,4.5,0.165,5.7,2.1,7.8,19,0.236
2017-18,Shai Gilgeous-Alexander,Kentucky,37,24,33.7,4.9,10.2,0.485,4.3,8.6,0.5,0.6,1.5,0.404,3.9,4.7,0.817,0.9,3.2,4.1,5.1,1.6,0.5,2.7,1.7,14.4,1248,21.2,0.578,0.516,0.151,0.464,571,3.2,10,6.8,28.8,2.8,1.7,17.9,21.9,3.3,1.9,5.2,0.167,5.3,3.7,9,26,0.2
2018-19,Jarrett Culver,Texas Tech,38,38,32.5,6.7,14.5,0.461,5.4,10.3,0.526,1.3,4.2,0.304,3.9,5.5,0.707,1.4,5,6.4,3.7,1.5,0.6,2.7,1.9,18.5,1234,25.1,0.542,0.505,0.292,0.377,711,5.6,17.3,11.8,26.1,2.7,2.2,13.7,32.2,3.3,3.5,6.8,0.222,6.9,4.8,11.6,31,0.219
2020-21,Ziaire Williams,Stanford,20,14,27.9,3.8,10.2,0.374,2.7,6.2,0.427,1.2,4,0.291,2,2.5,0.796,0.5,4.1,4.6,2.2,0.9,0.6,2.9,2.4,10.7,558,11.2,0.473,0.431,0.389,0.241,213,2.4,16.4,9.9,16.4,1.7,2.2,20.4,26.5,-0.2,0.9,0.6,0.046,-1.2,1.5,0.3,14,0.043
2021-22,Bryce McGowens,Nebraska,31,31,33.3,5.2,12.8,0.403,3.9,8.1,0.478,1.3,4.7,0.274,5.2,6.3,0.831,0.7,4.5,5.2,1.4,0.7,0.3,2.1,2,16.8,1032,16.9,0.533,0.453,0.368,0.491,486,2.4,14.6,8.7,8.6,1.2,1,11.7,27.2,1.6,0.6,2.2,0.086,2.3,-1,1.3,10,0.22
